id,order_day_numb,order_time_numb,order_day,order_time,d_hour,d_minute,d_second,dtimes,from,to,sum_transaction,from_name,to_name,from_group,to_group,from_Outstanding_DayBegin,to_Outstanding_DayBegin,from_DayChange_Income,from_DayChange_Outcome,to_DayChange_Income,to_DayChange_Outcome,from_Outstanding_DayEnd,to_Outstanding_DayEnd,from_DayChange_pr,to_DayChange_pr,graph_type,per5mnum,per5mbeg,per5mend,color_from,color_to,from_fixed,from_coord_x,from_coord_y,to_fixed,to_coord_x,to_coord_y
18,1,29,2016-06-20,09:02:00,9,2,0,2016-06-20 09:02:00,15,4,0.15,Pivd,PIB,Group 1,Russian,19.00,40.00,0.19,0.15,1.34,0.18,19.04,41.16,0.002,0.029,directed,1,9:00:00,9:05:00,7,7,False,NA,NA,True,450,450
19,1,30,2016-06-20,09:02:08,9,2,8,2016-06-20 09:02:08,13,20,0.20,OTP,KreditDnipro,Belonging to foreign banking groups ,Group 1,25.00,17.00,0.17,0.20,0.81,0.00,24.97,17.81,-0.001,0.048,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
20,1,33,2016-06-20,09:02:22,9,2,22,2016-06-20 09:02:22,7,18,0.22,Sber,Citi,Russian,Belonging to foreign banking groups ,43.00,30.00,0.00,0.22,0.39,0.31,42.78,30.09,-0.005,0.003,directed,1,9:00:00,9:05:00,5,7,True,450,-450,False,NA,NA
21,1,34,2016-06-20,09:02:30,9,2,30,2016-06-20 09:02:30,15,17,0.14,Pivd,Ing,Group 1,Belonging to foreign banking groups ,19.00,25.00,0.19,0.29,0.14,0.28,18.90,24.87,-0.005,-0.005,directed,1,9:00:00,9:05:00,5,5,False,NA,NA,False,NA,NA
22,1,35,2016-06-20,09:02:36,9,2,36,2016-06-20 09:02:36,1,6,0.35,Privat,UkrSoc,Privat,Russian,100.00,39.00,0.28,0.35,0.59,0.52,99.92,39.07,-0.001,0.002,directed,1,9:00:00,9:05:00,5,7,True,0,600,False,NA,NA
23,1,36,2016-06-20,09:02:38,9,2,38,2016-06-20 09:02:38,12,17,0.21,UkrGaz,Ing,With State Participation,Belonging to foreign banking groups ,27.00,25.00,0.00,0.21,0.35,0.28,26.79,25.08,-0.008,0.003,directed,1,9:00:00,9:05:00,5,7,True,-450,450,False,NA,NA
24,1,37,2016-06-20,09:02:39,9,2,39,2016-06-20 09:02:39,13,7,0.31,OTP,Sber,Belonging to foreign banking groups ,Russian,25.00,43.00,0.17,0.50,0.31,0.22,24.67,43.09,-0.013,0.002,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,450,-450
25,1,38,2016-06-20,09:02:39,9,2,39,2016-06-20 09:02:39,15,2,0.15,Pivd,Oschad,Group 1,With State Participation,19.00,74.00,0.19,0.44,0.15,0.00,18.75,74.15,-0.013,0.002,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,-600,0
26,1,39,2016-06-20,09:02:43,9,2,43,2016-06-20 09:02:43,13,4,0.17,OTP,PIB,Belonging to foreign banking groups ,Russian,25.00,40.00,0.17,0.68,1.52,0.18,24.49,41.34,-0.020,0.033,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,450,450
27,1,40,2016-06-20,09:02:47,9,2,47,2016-06-20 09:02:47,10,8,0.30,Vtb,Alfa,Russian,Russian,29.00,49.00,0.62,0.72,0.30,0.36,28.90,48.93,-0.003,-0.001,directed,1,9:00:00,9:05:00,5,5,True,600,0,False,NA,NA
28,1,42,2016-06-20,09:02:49,9,2,49,2016-06-20 09:02:49,10,14,0.29,Vtb,AgriCole,Russian,Belonging to foreign banking groups ,29.00,42.00,0.62,1.00,0.29,0.00,28.61,42.29,-0.013,0.007,directed,1,9:00:00,9:05:00,5,7,True,600,0,True,0,-600
29,1,44,2016-06-20,09:02:59,9,2,59,2016-06-20 09:02:59,4,14,0.29,PIB,AgriCole,Russian,Belonging to foreign banking groups ,40.00,42.00,1.52,0.46,0.57,0.00,41.05,42.57,0.026,0.014,directed,1,9:00:00,9:05:00,7,7,True,450,450,True,0,-600
30,1,45,2016-06-20,09:02:59,9,2,59,2016-06-20 09:02:59,11,12,0.31,UkrSib,UkrGaz,Group 1,With State Participation,28.00,27.00,0.00,0.31,0.31,0.21,27.69,27.10,-0.011,0.004,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,-450,450
31,1,46,2016-06-20,09:03:03,9,3,3,2016-06-20 09:03:03,11,8,0.20,UkrSib,Alfa,Group 1,Russian,28.00,49.00,0.00,0.51,0.50,0.36,27.49,49.13,-0.018,0.003,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
32,1,47,2016-06-20,09:03:05,9,3,5,2016-06-20 09:03:05,1,7,0.41,Privat,Sber,Privat,Russian,100.00,43.00,0.28,0.76,0.72,0.22,99.51,43.50,-0.005,0.012,directed,1,9:00:00,9:05:00,5,7,True,0,600,True,450,-450
33,1,48,2016-06-20,09:03:09,9,3,9,2016-06-20 09:03:09,6,8,0.28,UkrSoc,Alfa,Russian,Russian,39.00,49.00,0.59,0.80,0.77,0.36,38.79,49.41,-0.005,0.008,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
34,1,49,2016-06-20,09:03:16,9,3,16,2016-06-20 09:03:16,13,12,0.29,OTP,UkrGaz,Belonging to foreign banking groups ,With State Participation,25.00,27.00,0.17,0.97,0.60,0.21,24.20,27.39,-0.032,0.014,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,True,-450,450
35,1,50,2016-06-20,09:03:24,9,3,24,2016-06-20 09:03:24,19,9,0.13,Kreschatyk,Fuib,Group 1,Group 1,19.00,31.00,0.00,0.85,0.36,0.19,18.15,31.17,-0.045,0.005,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
36,1,51,2016-06-20,09:03:26,9,3,26,2016-06-20 09:03:26,19,9,0.17,Kreschatyk,Fuib,Group 1,Group 1,19.00,31.00,0.00,1.02,0.53,0.19,17.98,31.34,-0.054,0.011,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
37,1,53,2016-06-20,09:03:37,9,3,37,2016-06-20 09:03:37,5,8,0.34,Aval,Alfa,Belonging to foreign banking groups ,Russian,38.00,49.00,0.00,0.59,1.11,0.36,37.41,49.75,-0.015,0.015,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
38,1,54,2016-06-20,09:03:41,9,3,41,2016-06-20 09:03:41,8,4,0.27,Alfa,PIB,Russian,Russian,49.00,40.00,1.11,0.63,1.78,0.46,49.48,41.32,0.010,0.033,directed,1,9:00:00,9:05:00,7,7,False,NA,NA,True,450,450
39,1,56,2016-06-20,09:03:54,9,3,54,2016-06-20 09:03:54,5,17,0.20,Aval,Ing,Belonging to foreign banking groups ,Belonging to foreign banking groups ,38.00,25.00,0.00,0.79,0.55,0.28,37.21,25.28,-0.021,0.011,directed,1,9:00:00,9:05:00,5,7,False,NA,NA,False,NA,NA
40,1,57,2016-06-20,09:04:00,9,4,0,2016-06-20 09:04:00,17,14,0.22,Ing,AgriCole,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,42.00,0.55,0.49,0.79,0.00,25.06,42.79,0.002,0.019,directed,1,9:00:00,9:05:00,7,7,False,NA,NA,True,0,-600
41,1,59,2016-06-20,09:04:07,9,4,7,2016-06-20 09:04:07,6,3,0.27,UkrSoc,Exim,Russian,With State Participation,39.00,60.00,0.59,1.06,0.27,0.37,38.53,59.90,-0.012,-0.002,directed,1,9:00:00,9:05:00,5,5,False,NA,NA,True,-450,-450
42,1,60,2016-06-20,09:04:13,9,4,13,2016-06-20 09:04:13,3,2,0.43,Exim,Oschad,With State Participation,With State Participation,60.00,74.00,0.27,0.79,0.57,0.00,59.47,74.57,-0.009,0.008,directed,1,9:00:00,9:05:00,5,7,True,-450,-450,True,-600,0
43,1,61,2016-06-20,09:04:22,9,4,22,2016-06-20 09:04:22,4,6,0.32,PIB,UkrSoc,Russian,Russian,40.00,39.00,1.78,0.78,0.91,1.06,41.00,38.85,0.025,-0.004,directed,1,9:00:00,9:05:00,7,5,True,450,450,False,NA,NA
44,1,62,2016-06-20,09:04:29,9,4,29,2016-06-20 09:04:29,4,10,0.35,PIB,Vtb,Russian,Russian,40.00,29.00,1.78,1.13,0.97,1.00,40.65,28.96,0.016,-0.001,directed,1,9:00:00,9:05:00,7,5,True,450,450,True,600,0
45,1,63,2016-06-20,09:04:30,9,4,30,2016-06-20 09:04:30,8,12,0.21,Alfa,UkrGaz,Russian,With State Participation,49.00,27.00,1.11,0.84,0.81,0.21,49.27,27.60,0.006,0.022,directed,1,9:00:00,9:05:00,7,7,False,NA,NA,True,-450,450
46,1,64,2016-06-20,09:04:39,9,4,39,2016-06-20 09:04:39,2,4,0.46,Oschad,PIB,With State Participation,Russian,74.00,40.00,0.57,0.46,2.24,1.13,74.12,41.10,0.002,0.028,directed,1,9:00:00,9:05:00,7,7,True,-600,0,True,450,450
47,1,66,2016-06-20,09:04:48,9,4,48,2016-06-20 09:04:48,3,11,0.18,Exim,UkrSib,With State Participation,Group 1,60.00,28.00,0.27,0.97,0.18,0.51,59.29,27.67,-0.012,-0.012,directed,1,9:00:00,9:05:00,5,5,True,-450,-450,False,NA,NA
48,1,67,2016-06-20,09:04:50,9,4,50,2016-06-20 09:04:50,12,2,0.31,UkrGaz,Oschad,With State Participation,With State Participation,27.00,74.00,0.81,0.52,0.88,0.46,27.29,74.43,0.011,0.006,directed,1,9:00:00,9:05:00,7,7,True,-450,450,True,-600,0
49,1,69,2016-06-20,09:05:00,9,5,0,2016-06-20 09:05:00,12,17,0.20,UkrGaz,Ing,With State Participation,Belonging to foreign banking groups ,27.00,25.00,0.81,0.72,0.75,0.49,27.08,25.26,0.003,0.011,directed,2,9:05:00,9:10:00,7,7,True,-450,450,False,NA,NA
50,1,71,2016-06-20,09:05:04,9,5,4,2016-06-20 09:05:04,6,2,0.37,UkrSoc,Oschad,Russian,With State Participation,39.00,74.00,0.91,1.43,1.25,0.46,38.48,74.79,-0.013,0.011,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,-600,0
51,1,72,2016-06-20,09:05:09,9,5,9,2016-06-20 09:05:09,15,5,0.22,Pivd,Aval,Group 1,Belonging to foreign banking groups ,19.00,38.00,0.19,0.65,0.22,0.79,18.54,37.43,-0.024,-0.015,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
52,1,73,2016-06-20,09:05:11,9,5,11,2016-06-20 09:05:11,12,18,0.23,UkrGaz,Citi,With State Participation,Belonging to foreign banking groups ,27.00,30.00,0.81,0.95,0.62,0.31,26.86,30.32,-0.005,0.011,directed,2,9:05:00,9:10:00,5,7,True,-450,450,False,NA,NA
53,1,74,2016-06-20,09:05:11,9,5,11,2016-06-20 09:05:11,4,1,0.32,PIB,Privat,Russian,Privat,40.00,100.00,2.24,1.45,0.60,0.76,40.78,99.83,0.020,-0.002,directed,2,9:05:00,9:10:00,7,5,True,450,450,True,0,600
54,1,75,2016-06-20,09:05:14,9,5,14,2016-06-20 09:05:14,16,11,0.24,Fido,UkrSib,Group 1,Group 1,21.00,28.00,0.19,0.54,0.42,0.51,20.65,27.91,-0.017,-0.003,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
55,1,76,2016-06-20,09:05:16,9,5,16,2016-06-20 09:05:16,18,14,0.21,Citi,AgriCole,Belonging to foreign banking groups ,Belonging to foreign banking groups ,30.00,42.00,0.62,0.52,1.00,0.00,30.11,43.00,0.004,0.024,directed,2,9:05:00,9:10:00,7,7,False,NA,NA,True,0,-600
56,1,78,2016-06-20,09:05:26,9,5,26,2016-06-20 09:05:26,17,1,0.27,Ing,Privat,Belonging to foreign banking groups ,Privat,25.00,100.00,0.75,0.76,0.86,0.76,25.00,100.10,0.000,0.001,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,600
57,1,79,2016-06-20,09:05:32,9,5,32,2016-06-20 09:05:32,8,5,0.29,Alfa,Aval,Russian,Belonging to foreign banking groups ,49.00,38.00,1.11,1.13,0.51,0.79,48.98,37.72,0.000,-0.007,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
58,1,80,2016-06-20,09:05:34,9,5,34,2016-06-20 09:05:34,15,6,0.14,Pivd,UkrSoc,Group 1,Russian,19.00,39.00,0.19,0.79,1.05,1.43,18.40,38.62,-0.032,-0.010,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
59,1,81,2016-06-20,09:05:43,9,5,43,2016-06-20 09:05:43,15,17,0.13,Pivd,Ing,Group 1,Belonging to foreign banking groups ,19.00,25.00,0.19,0.92,0.88,0.76,18.27,25.12,-0.038,0.005,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
60,1,82,2016-06-20,09:05:49,9,5,49,2016-06-20 09:05:49,10,2,0.31,Vtb,Oschad,Russian,With State Participation,29.00,74.00,0.97,1.31,1.56,0.46,28.66,75.10,-0.012,0.015,directed,2,9:05:00,9:10:00,5,7,True,600,0,True,-600,0
61,1,83,2016-06-20,09:05:54,9,5,54,2016-06-20 09:05:54,11,1,0.34,UkrSib,Privat,Group 1,Privat,28.00,100.00,0.42,0.85,1.20,0.76,27.58,100.44,-0.015,0.004,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,600
62,1,84,2016-06-20,09:05:54,9,5,54,2016-06-20 09:05:54,19,12,0.23,Kreschatyk,UkrGaz,Group 1,With State Participation,19.00,27.00,0.00,1.26,1.04,0.95,17.74,27.09,-0.066,0.003,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,-450,450
63,1,85,2016-06-20,09:06:00,9,6,0,2016-06-20 09:06:00,19,14,0.21,Kreschatyk,AgriCole,Group 1,Belonging to foreign banking groups ,19.00,42.00,0.00,1.47,1.21,0.00,17.53,43.21,-0.077,0.029,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,-600
64,1,86,2016-06-20,09:06:05,9,6,5,2016-06-20 09:06:05,13,5,0.26,OTP,Aval,Belonging to foreign banking groups ,Belonging to foreign banking groups ,25.00,38.00,0.17,1.23,0.76,0.79,23.94,37.98,-0.042,-0.001,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
65,1,87,2016-06-20,09:06:08,9,6,8,2016-06-20 09:06:08,18,14,0.23,Citi,AgriCole,Belonging to foreign banking groups ,Belonging to foreign banking groups ,30.00,42.00,0.62,0.75,1.44,0.00,29.87,43.44,-0.004,0.034,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,-600
66,1,91,2016-06-20,09:06:24,9,6,24,2016-06-20 09:06:24,16,9,0.18,Fido,Fuib,Group 1,Group 1,21.00,31.00,0.19,0.71,0.71,0.19,20.48,31.52,-0.025,0.017,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
67,1,93,2016-06-20,09:06:31,9,6,31,2016-06-20 09:06:31,15,14,0.13,Pivd,AgriCole,Group 1,Belonging to foreign banking groups ,19.00,42.00,0.19,1.04,1.56,0.00,18.15,43.56,-0.045,0.037,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,-600
68,1,94,2016-06-20,09:06:36,9,6,36,2016-06-20 09:06:36,19,20,0.15,Kreschatyk,KreditDnipro,Group 1,Group 1,19.00,17.00,0.00,1.61,0.96,0.00,17.39,17.96,-0.085,0.057,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
69,1,95,2016-06-20,09:06:37,9,6,37,2016-06-20 09:06:37,8,14,0.34,Alfa,AgriCole,Russian,Belonging to foreign banking groups ,49.00,42.00,1.11,1.47,1.91,0.00,48.64,43.91,-0.007,0.045,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,0,-600
70,1,96,2016-06-20,09:06:37,9,6,37,2016-06-20 09:06:37,11,18,0.32,UkrSib,Citi,Group 1,Belonging to foreign banking groups ,28.00,30.00,0.42,1.17,0.94,0.75,27.25,30.20,-0.027,0.007,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
71,1,97,2016-06-20,09:06:42,9,6,42,2016-06-20 09:06:42,5,19,0.16,Aval,Kreschatyk,Belonging to foreign banking groups ,Group 1,38.00,19.00,0.76,0.94,0.16,1.61,37.82,17.54,-0.005,-0.077,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
72,1,98,2016-06-20,09:06:43,9,6,43,2016-06-20 09:06:43,12,5,0.27,UkrGaz,Aval,With State Participation,Belonging to foreign banking groups ,27.00,38.00,1.04,1.23,1.04,0.94,26.81,38.10,-0.007,0.003,directed,2,9:05:00,9:10:00,5,7,True,-450,450,False,NA,NA
73,1,99,2016-06-20,09:06:46,9,6,46,2016-06-20 09:06:46,11,5,0.31,UkrSib,Aval,Group 1,Belonging to foreign banking groups ,28.00,38.00,0.42,1.48,1.35,0.94,26.94,38.41,-0.038,0.011,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
74,1,100,2016-06-20,09:06:54,9,6,54,2016-06-20 09:06:54,10,11,0.29,Vtb,UkrSib,Russian,Group 1,29.00,28.00,0.97,1.60,0.71,1.48,28.37,27.23,-0.022,-0.028,directed,2,9:05:00,9:10:00,5,5,True,600,0,False,NA,NA
75,1,102,2016-06-20,09:07:01,9,7,1,2016-06-20 09:07:01,16,3,0.16,Fido,Exim,Group 1,With State Participation,21.00,60.00,0.19,0.87,0.42,0.97,20.32,59.45,-0.033,-0.009,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,True,-450,-450
76,1,103,2016-06-20,09:07:03,9,7,3,2016-06-20 09:07:03,15,7,0.15,Pivd,Sber,Group 1,Russian,19.00,43.00,0.19,1.19,0.87,0.22,17.99,43.65,-0.053,0.015,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,450,-450
77,1,104,2016-06-20,09:07:11,9,7,11,2016-06-20 09:07:11,5,15,0.18,Aval,Pivd,Belonging to foreign banking groups ,Group 1,38.00,19.00,1.35,1.13,0.37,1.19,38.22,18.18,0.006,-0.043,directed,2,9:05:00,9:10:00,7,5,False,NA,NA,False,NA,NA
78,1,105,2016-06-20,09:07:18,9,7,18,2016-06-20 09:07:18,3,4,0.32,Exim,PIB,With State Participation,Russian,60.00,40.00,0.42,1.29,2.56,1.45,59.13,41.10,-0.014,0.028,directed,2,9:05:00,9:10:00,5,7,True,-450,-450,True,450,450
79,1,106,2016-06-20,09:07:24,9,7,24,2016-06-20 09:07:24,18,4,0.37,Citi,PIB,Belonging to foreign banking groups ,Russian,30.00,40.00,0.94,1.12,2.93,1.45,29.82,41.48,-0.006,0.037,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,450,450
80,1,108,2016-06-20,09:07:33,9,7,33,2016-06-20 09:07:33,8,20,0.18,Alfa,KreditDnipro,Russian,Group 1,49.00,17.00,1.11,1.65,1.14,0.00,48.47,18.14,-0.011,0.067,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,False,NA,NA
81,1,109,2016-06-20,09:07:34,9,7,34,2016-06-20 09:07:34,13,3,0.31,OTP,Exim,Belonging to foreign banking groups ,With State Participation,25.00,60.00,0.17,1.54,0.73,1.29,23.63,59.44,-0.055,-0.009,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,True,-450,-450
82,1,110,2016-06-20,09:07:39,9,7,39,2016-06-20 09:07:39,6,8,0.40,UkrSoc,Alfa,Russian,Russian,39.00,49.00,1.05,1.83,1.51,1.65,38.22,48.87,-0.020,-0.003,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,False,NA,NA
83,1,112,2016-06-20,09:07:48,9,7,48,2016-06-20 09:07:48,13,2,0.28,OTP,Oschad,Belonging to foreign banking groups ,With State Participation,25.00,74.00,0.17,1.82,1.84,0.46,23.35,75.38,-0.066,0.019,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,-600,0
84,1,114,2016-06-20,09:08:03,9,8,3,2016-06-20 09:08:03,16,12,0.15,Fido,UkrGaz,Group 1,With State Participation,21.00,27.00,0.19,1.02,1.19,1.23,20.17,26.96,-0.040,-0.001,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,True,-450,450
85,1,116,2016-06-20,09:08:12,9,8,12,2016-06-20 09:08:12,12,8,0.22,UkrGaz,Alfa,With State Participation,Russian,27.00,49.00,1.19,1.45,1.74,1.65,26.74,49.09,-0.010,0.002,directed,2,9:05:00,9:10:00,5,7,True,-450,450,False,NA,NA
86,1,118,2016-06-20,09:08:22,9,8,22,2016-06-20 09:08:22,19,3,0.18,Kreschatyk,Exim,Group 1,With State Participation,19.00,60.00,0.16,1.79,0.91,1.29,17.36,59.62,-0.086,-0.006,directed,2,9:05:00,9:10:00,5,5,False,NA,NA,True,-450,-450
87,1,119,2016-06-20,09:08:31,9,8,31,2016-06-20 09:08:31,7,18,0.29,Sber,Citi,Russian,Belonging to foreign banking groups ,43.00,30.00,0.87,0.51,1.24,1.12,43.35,30.12,0.008,0.004,directed,2,9:05:00,9:10:00,7,7,True,450,-450,False,NA,NA
88,1,120,2016-06-20,09:08:38,9,8,38,2016-06-20 09:08:38,1,5,0.40,Privat,Aval,Privat,Belonging to foreign banking groups ,100.00,38.00,1.20,1.17,1.75,1.13,100.03,38.63,0.000,0.017,directed,2,9:05:00,9:10:00,7,7,True,0,600,False,NA,NA
89,1,121,2016-06-20,09:08:44,9,8,44,2016-06-20 09:08:44,1,6,0.43,Privat,UkrSoc,Privat,Russian,100.00,39.00,1.20,1.60,1.48,1.83,99.60,38.65,-0.004,-0.009,directed,2,9:05:00,9:10:00,5,5,True,0,600,False,NA,NA
90,1,122,2016-06-20,09:08:48,9,8,48,2016-06-20 09:08:48,19,2,0.19,Kreschatyk,Oschad,Group 1,With State Participation,19.00,74.00,0.16,1.98,2.03,0.46,17.18,75.57,-0.096,0.021,directed,2,9:05:00,9:10:00,5,7,False,NA,NA,True,-600,0
91,1,123,2016-06-20,09:08:48,9,8,48,2016-06-20 09:08:48,20,15,0.16,KreditDnipro,Pivd,Group 1,Group 1,17.00,19.00,1.14,0.16,0.53,1.19,17.98,18.34,0.058,-0.035,directed,2,9:05:00,9:10:00,7,5,False,NA,NA,False,NA,NA
